temp,hum,prediction
0.1460436,0.3121251,3116.382377484294
0.16149715454545455,0.3121251,3118.345895484294
0.1769507090909091,0.3121251,3126.5161248689096
0.19240426363636365,0.3121251,3146.542660176269
0.2078578181818182,0.3121251,3156.4220998905544
0.22331137272727275,0.3121251,3190.221495811189
0.2387649272727273,0.3121251,3208.2659620602735
0.25421848181818185,0.3121251,3244.023642206722
0.2696720363636364,0.3121251,3341.063247485776
0.28512559090909095,0.3121251,3576.132880118313
0.3005791454545455,0.3121251,3608.758315499266
0.31603270000000006,0.3121251,3638.4150552599494
0.3314862545454546,0.3121251,3686.3238335855126
0.34693980909090916,0.3121251,3759.7585939129576
0.3623933636363637,0.3121251,3808.023493000981
0.37784691818181826,0.3121251,3833.796499375607
0.3933004727272728,0.3121251,3991.2028025706486
0.40875402727272736,0.3121251,4013.6416538715143
0.4242075818181819,0.3121251,4211.051567685921
0.43966113636363646,0.3121251,4370.779580486431
0.455114690909091,0.3121251,4588.63600156983
0.47056824545454556,0.3121251,4816.5725383880945
0.4860218000000001,0.3121251,4888.003188904985
0.5014753545454547,0.3121251,4913.815534998731
0.5169289090909093,0.3121251,5028.73685109397
0.5323824636363638,0.3121251,5066.393272427303
0.5478360181818183,0.3121251,5096.3637283479375
0.5632895727272729,0.3121251,5108.737830567718
0.5787431272727275,0.3121251,5114.312888567719
0.594196681818182,0.3121251,5124.877545465154
0.6096502363636365,0.3121251,5145.86815377888
0.6251037909090911,0.3121251,5142.128157445546
0.6405573454545457,0.3121251,5149.9969279927645
0.6560109000000003,0.3121251,5144.166154832239
0.6714644545454547,0.3121251,5133.187972927478
0.6869180090909093,0.3121251,5129.392680927478
0.7023715636363639,0.3121251,5118.315822276684
0.7178251181818185,0.3121251,5113.365571899377
0.7332786727272729,0.3121251,5082.982603087745
0.7487322272727275,0.3121251,5053.28091913752
0.7641857818181821,0.3121251,5012.100830443537
0.7796393363636367,0.3121251,4972.047946637954
0.7950928909090911,0.3121251,4944.922591849481
0.8105464454545457,0.3121251,4863.500772573535
0.8260000000000003,0.3121251,4815.009504081471
0.1460436,0.32612036818181817,3124.8385134842943
0.16149715454545455,0.32612036818181817,3126.8020314842943
0.1769507090909091,0.32612036818181817,3134.97226086891
0.19240426363636365,0.32612036818181817,3154.998796176269
0.2078578181818182,0.32612036818181817,3164.8419958905547
0.22331137272727275,0.32612036818181817,3198.6413918111894
0.2387649272727273,0.32612036818181817,3216.6858580602734
0.25421848181818185,0.32612036818181817,3252.4435382067218
0.2696720363636364,0.32612036818181817,3348.1142694857763
0.28512559090909095,0.32612036818181817,3584.538962118313
0.3005791454545455,0.32612036818181817,3617.3645734992656
0.31603270000000006,0.32612036818181817,3647.1702332599493
0.3314862545454546,0.32612036818181817,3695.0555155855127
0.34693980909090916,0.32612036818181817,3769.727339912958
0.3623933636363637,0.32612036818181817,3817.9922390009815
0.37784691818181826,0.32612036818181817,3842.4324853756066
0.3933004727272728,0.32612036818181817,3999.646787903982
0.40875402727272736,0.32612036818181817,4022.0330392048477
0.4242075818181819,0.32612036818181817,4220.619385685921
0.43966113636363646,0.32612036818181817,4379.92865248643
0.455114690909091,0.32612036818181817,4592.5459895698305
0.47056824545454556,0.32612036818181817,4822.927135054761
